관리ID,작업ID,단계,공사/안전이 해야할 일,확인자,기록/증빙,출처URL
S-STEEL-WELD-001-01,STEEL-WELD-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-WELD-001-02,STEEL-WELD-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-WELD-001-03,STEEL-WELD-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STEEL-DECK-001-01,STEEL-DECK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-DECK-001-02,STEEL-DECK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-DECK-001-03,STEEL-DECK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STEEL-FIRE-001-01,STEEL-FIRE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STEEL-FIRE-001-02,STEEL-FIRE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STEEL-FIRE-001-03,STEEL-FIRE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MASON-BRICK-001-01,MASON-BRICK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MASON-BRICK-001-02,MASON-BRICK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MASON-BRICK-001-03,MASON-BRICK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MASON-BLOCK-001-01,MASON-BLOCK-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MASON-BLOCK-001-02,MASON-BLOCK-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MASON-BLOCK-001-03,MASON-BLOCK-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MASON-LINTEL-001-01,MASON-LINTEL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MASON-LINTEL-001-02,MASON-LINTEL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MASON-LINTEL-001-03,MASON-LINTEL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PLASTER-WALL-001-01,PLASTER-WALL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PLASTER-WALL-001-02,PLASTER-WALL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PLASTER-WALL-001-03,PLASTER-WALL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PLASTER-FLOOR-001-01,PLASTER-FLOOR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PLASTER-FLOOR-001-02,PLASTER-FLOOR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PLASTER-FLOOR-001-03,PLASTER-FLOOR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PLASTER-LEVEL-001-01,PLASTER-LEVEL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PLASTER-LEVEL-001-02,PLASTER-LEVEL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PLASTER-LEVEL-001-03,PLASTER-LEVEL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WATER-URE-001-01,WATER-URE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WATER-URE-001-02,WATER-URE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WATER-URE-001-03,WATER-URE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WATER-SHEET-001-01,WATER-SHEET-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WATER-SHEET-001-02,WATER-SHEET-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WATER-SHEET-001-03,WATER-SHEET-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WATER-JOINT-001-01,WATER-JOINT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WATER-JOINT-001-02,WATER-JOINT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WATER-JOINT-001-03,WATER-JOINT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-INSUL-XPS-001-01,INSUL-XPS-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-INSUL-XPS-001-02,INSUL-XPS-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-INSUL-XPS-001-03,INSUL-XPS-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-INSUL-WOOL-001-01,INSUL-WOOL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-INSUL-WOOL-001-02,INSUL-WOOL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-INSUL-WOOL-001-03,INSUL-WOOL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WINDOW-AL-001-01,WINDOW-AL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WINDOW-AL-001-02,WINDOW-AL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WINDOW-AL-001-03,WINDOW-AL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WINDOW-GLASS-001-01,WINDOW-GLASS-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WINDOW-GLASS-001-02,WINDOW-GLASS-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WINDOW-GLASS-001-03,WINDOW-GLASS-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-WINDOW-DOOR-001-01,WINDOW-DOOR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-WINDOW-DOOR-001-02,WINDOW-DOOR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-WINDOW-DOOR-001-03,WINDOW-DOOR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-METAL-RAIL-001-01,METAL-RAIL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-METAL-RAIL-001-02,METAL-RAIL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-METAL-RAIL-001-03,METAL-RAIL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-METAL-CEIL-001-01,METAL-CEIL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-METAL-CEIL-001-02,METAL-CEIL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-METAL-CEIL-001-03,METAL-CEIL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-METAL-LOUVER-001-01,METAL-LOUVER-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-METAL-LOUVER-001-02,METAL-LOUVER-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-METAL-LOUVER-001-03,METAL-LOUVER-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ROOF-SHEET-001-01,ROOF-SHEET-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ROOF-SHEET-001-02,ROOF-SHEET-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ROOF-SHEET-001-03,ROOF-SHEET-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-ROOF-DRAIN-001-01,ROOF-DRAIN-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-ROOF-DRAIN-001-02,ROOF-DRAIN-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-ROOF-DRAIN-001-03,ROOF-DRAIN-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STONE-EXT-001-01,STONE-EXT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STONE-EXT-001-02,STONE-EXT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STONE-EXT-001-03,STONE-EXT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-STONE-FLOOR-001-01,STONE-FLOOR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-STONE-FLOOR-001-02,STONE-FLOOR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-STONE-FLOOR-001-03,STONE-FLOOR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TILE-WALL-001-01,TILE-WALL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TILE-WALL-001-02,TILE-WALL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TILE-WALL-001-03,TILE-WALL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TILE-FLOOR-001-01,TILE-FLOOR-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TILE-FLOOR-001-02,TILE-FLOOR-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TILE-FLOOR-001-03,TILE-FLOOR-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-TILE-GROUT-001-01,TILE-GROUT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-TILE-GROUT-001-02,TILE-GROUT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-TILE-GROUT-001-03,TILE-GROUT-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PAINT-WATER-001-01,PAINT-WATER-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PAINT-WATER-001-02,PAINT-WATER-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PAINT-WATER-001-03,PAINT-WATER-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PAINT-EPOXY-001-01,PAINT-EPOXY-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PAINT-EPOXY-001-02,PAINT-EPOXY-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PAINT-EPOXY-001-03,PAINT-EPOXY-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-PAINT-ANTIRUST-001-01,PAINT-ANTIRUST-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-PAINT-ANTIRUST-001-02,PAINT-ANTIRUST-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-PAINT-ANTIRUST-001-03,PAINT-ANTIRUST-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-INTERIOR-BOARD-001-01,INTERIOR-BOARD-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-INTERIOR-BOARD-001-02,INTERIOR-BOARD-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-INTERIOR-BOARD-001-03,INTERIOR-BOARD-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-INTERIOR-CEIL-001-01,INTERIOR-CEIL-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-INTERIOR-CEIL-001-02,INTERIOR-CEIL-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-INTERIOR-CEIL-001-03,INTERIOR-CEIL-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-INTERIOR-FIN-001-01,INTERIOR-FIN-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-INTERIOR-FIN-001-02,INTERIOR-FIN-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-INTERIOR-FIN-001-03,INTERIOR-FIN-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MECH-PIPE-001-01,MECH-PIPE-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MECH-PIPE-001-02,MECH-PIPE-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MECH-PIPE-001-03,MECH-PIPE-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MECH-DRAIN-001-01,MECH-DRAIN-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MECH-DRAIN-001-02,MECH-DRAIN-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
S-MECH-DRAIN-001-03,MECH-DRAIN-001,작업후,"잔재 정리, 통로 확보, 임시시설 원상복구, 미결함 기록",공사/안전,"정리정돈 체크, 미결사항 조치기록",https://www.kosha.or.kr/
S-MECH-DUCT-001-01,MECH-DUCT-001,작업전,"TBM 실시, 작업허가·위험성평가 확인, 작업구역 통제, PPE 착용상태 확인",공사/안전,"TBM일지, 위험성평가표, 작업허가서",https://www.seosan.go.kr/DATA/bbs/127/202306081003043690zfz1A.pdf
S-MECH-DUCT-001-02,MECH-DUCT-001,작업중,"작업반경 출입통제, 신호수 배치, 추락·낙하방지 조치 유지, 이상 징후 즉시 중지",공사/안전,"순회점검일지, 사진대지",https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
