체크ID,작업ID,구분,체크문항,판정,증빙
CHK-STEEL-ANCHOR-001-05,STEEL-ANCHOR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ERECT-001-01,STEEL-ERECT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ERECT-001-02,STEEL-ERECT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ERECT-001-03,STEEL-ERECT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ERECT-001-04,STEEL-ERECT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-ERECT-001-05,STEEL-ERECT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-BOLT-001-01,STEEL-BOLT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-BOLT-001-02,STEEL-BOLT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-BOLT-001-03,STEEL-BOLT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-BOLT-001-04,STEEL-BOLT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-BOLT-001-05,STEEL-BOLT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-WELD-001-01,STEEL-WELD-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-WELD-001-02,STEEL-WELD-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-WELD-001-03,STEEL-WELD-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-WELD-001-04,STEEL-WELD-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-WELD-001-05,STEEL-WELD-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-DECK-001-01,STEEL-DECK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-DECK-001-02,STEEL-DECK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-DECK-001-03,STEEL-DECK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-DECK-001-04,STEEL-DECK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-DECK-001-05,STEEL-DECK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-FIRE-001-01,STEEL-FIRE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-FIRE-001-02,STEEL-FIRE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-FIRE-001-03,STEEL-FIRE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-FIRE-001-04,STEEL-FIRE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STEEL-FIRE-001-05,STEEL-FIRE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BRICK-001-01,MASON-BRICK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BRICK-001-02,MASON-BRICK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BRICK-001-03,MASON-BRICK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BRICK-001-04,MASON-BRICK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BRICK-001-05,MASON-BRICK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BLOCK-001-01,MASON-BLOCK-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BLOCK-001-02,MASON-BLOCK-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BLOCK-001-03,MASON-BLOCK-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BLOCK-001-04,MASON-BLOCK-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-BLOCK-001-05,MASON-BLOCK-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-LINTEL-001-01,MASON-LINTEL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-LINTEL-001-02,MASON-LINTEL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-LINTEL-001-03,MASON-LINTEL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-LINTEL-001-04,MASON-LINTEL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-MASON-LINTEL-001-05,MASON-LINTEL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-WALL-001-01,PLASTER-WALL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-WALL-001-02,PLASTER-WALL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-WALL-001-03,PLASTER-WALL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-WALL-001-04,PLASTER-WALL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-WALL-001-05,PLASTER-WALL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-FLOOR-001-01,PLASTER-FLOOR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-FLOOR-001-02,PLASTER-FLOOR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-FLOOR-001-03,PLASTER-FLOOR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-FLOOR-001-04,PLASTER-FLOOR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-FLOOR-001-05,PLASTER-FLOOR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-LEVEL-001-01,PLASTER-LEVEL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-LEVEL-001-02,PLASTER-LEVEL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-LEVEL-001-03,PLASTER-LEVEL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-LEVEL-001-04,PLASTER-LEVEL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PLASTER-LEVEL-001-05,PLASTER-LEVEL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-URE-001-01,WATER-URE-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-URE-001-02,WATER-URE-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-URE-001-03,WATER-URE-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-URE-001-04,WATER-URE-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-URE-001-05,WATER-URE-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-SHEET-001-01,WATER-SHEET-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-SHEET-001-02,WATER-SHEET-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-SHEET-001-03,WATER-SHEET-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-SHEET-001-04,WATER-SHEET-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-SHEET-001-05,WATER-SHEET-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-JOINT-001-01,WATER-JOINT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-JOINT-001-02,WATER-JOINT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-JOINT-001-03,WATER-JOINT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-JOINT-001-04,WATER-JOINT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WATER-JOINT-001-05,WATER-JOINT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-XPS-001-01,INSUL-XPS-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-XPS-001-02,INSUL-XPS-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-XPS-001-03,INSUL-XPS-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-XPS-001-04,INSUL-XPS-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-XPS-001-05,INSUL-XPS-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-WOOL-001-01,INSUL-WOOL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-WOOL-001-02,INSUL-WOOL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-WOOL-001-03,INSUL-WOOL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-WOOL-001-04,INSUL-WOOL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INSUL-WOOL-001-05,INSUL-WOOL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-AL-001-01,WINDOW-AL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-AL-001-02,WINDOW-AL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-AL-001-03,WINDOW-AL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-AL-001-04,WINDOW-AL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-AL-001-05,WINDOW-AL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-GLASS-001-01,WINDOW-GLASS-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-GLASS-001-02,WINDOW-GLASS-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-GLASS-001-03,WINDOW-GLASS-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-GLASS-001-04,WINDOW-GLASS-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-GLASS-001-05,WINDOW-GLASS-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-DOOR-001-01,WINDOW-DOOR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-DOOR-001-02,WINDOW-DOOR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-DOOR-001-03,WINDOW-DOOR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-DOOR-001-04,WINDOW-DOOR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-WINDOW-DOOR-001-05,WINDOW-DOOR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-RAIL-001-01,METAL-RAIL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-RAIL-001-02,METAL-RAIL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-RAIL-001-03,METAL-RAIL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-RAIL-001-04,METAL-RAIL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-RAIL-001-05,METAL-RAIL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-CEIL-001-01,METAL-CEIL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-CEIL-001-02,METAL-CEIL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-CEIL-001-03,METAL-CEIL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-CEIL-001-04,METAL-CEIL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-CEIL-001-05,METAL-CEIL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-LOUVER-001-01,METAL-LOUVER-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-LOUVER-001-02,METAL-LOUVER-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-LOUVER-001-03,METAL-LOUVER-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-LOUVER-001-04,METAL-LOUVER-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-METAL-LOUVER-001-05,METAL-LOUVER-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-SHEET-001-01,ROOF-SHEET-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-SHEET-001-02,ROOF-SHEET-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-SHEET-001-03,ROOF-SHEET-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-SHEET-001-04,ROOF-SHEET-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-SHEET-001-05,ROOF-SHEET-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-DRAIN-001-01,ROOF-DRAIN-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-DRAIN-001-02,ROOF-DRAIN-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-DRAIN-001-03,ROOF-DRAIN-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-DRAIN-001-04,ROOF-DRAIN-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-ROOF-DRAIN-001-05,ROOF-DRAIN-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-EXT-001-01,STONE-EXT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-EXT-001-02,STONE-EXT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-EXT-001-03,STONE-EXT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-EXT-001-04,STONE-EXT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-EXT-001-05,STONE-EXT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-FLOOR-001-01,STONE-FLOOR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-FLOOR-001-02,STONE-FLOOR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-FLOOR-001-03,STONE-FLOOR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-FLOOR-001-04,STONE-FLOOR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-STONE-FLOOR-001-05,STONE-FLOOR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-WALL-001-01,TILE-WALL-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-WALL-001-02,TILE-WALL-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-WALL-001-03,TILE-WALL-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-WALL-001-04,TILE-WALL-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-WALL-001-05,TILE-WALL-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-FLOOR-001-01,TILE-FLOOR-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-FLOOR-001-02,TILE-FLOOR-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-FLOOR-001-03,TILE-FLOOR-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-FLOOR-001-04,TILE-FLOOR-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-FLOOR-001-05,TILE-FLOOR-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-GROUT-001-01,TILE-GROUT-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-GROUT-001-02,TILE-GROUT-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-GROUT-001-03,TILE-GROUT-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-GROUT-001-04,TILE-GROUT-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-TILE-GROUT-001-05,TILE-GROUT-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-WATER-001-01,PAINT-WATER-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-WATER-001-02,PAINT-WATER-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-WATER-001-03,PAINT-WATER-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-WATER-001-04,PAINT-WATER-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-WATER-001-05,PAINT-WATER-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-EPOXY-001-01,PAINT-EPOXY-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-EPOXY-001-02,PAINT-EPOXY-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-EPOXY-001-03,PAINT-EPOXY-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-EPOXY-001-04,PAINT-EPOXY-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-EPOXY-001-05,PAINT-EPOXY-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-ANTIRUST-001-01,PAINT-ANTIRUST-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-ANTIRUST-001-02,PAINT-ANTIRUST-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-ANTIRUST-001-03,PAINT-ANTIRUST-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-ANTIRUST-001-04,PAINT-ANTIRUST-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-PAINT-ANTIRUST-001-05,PAINT-ANTIRUST-001,품질/시공,작업 후 정리정돈 및 후속공정 인계를 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-BOARD-001-01,INTERIOR-BOARD-001,공통,작업 전 TBM 및 위험성평가를 실시했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-BOARD-001-02,INTERIOR-BOARD-001,공통,작업구역 출입통제와 보행동선 분리가 되었는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-BOARD-001-03,INTERIOR-BOARD-001,품질/시공,도면·시방서·자재승인 사항을 확인했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
CHK-INTERIOR-BOARD-001-04,INTERIOR-BOARD-001,품질/시공,검측 전 자체 품질점검을 완료했는가?,예/아니오/해당없음,"사진, 일지, 검측서"
