장비ID,작업ID,구분,장비/자재/PPE,관리포인트
E-INTERIOR-FIN-001-02,INTERIOR-FIN-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-INTERIOR-FIN-001-03,INTERIOR-FIN-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MECH-PIPE-001-01,MECH-PIPE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-MECH-PIPE-001-02,MECH-PIPE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MECH-PIPE-001-03,MECH-PIPE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MECH-DRAIN-001-01,MECH-DRAIN-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-MECH-DRAIN-001-02,MECH-DRAIN-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MECH-DRAIN-001-03,MECH-DRAIN-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MECH-DUCT-001-01,MECH-DUCT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-MECH-DUCT-001-02,MECH-DUCT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MECH-DUCT-001-03,MECH-DUCT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MECH-EQUIP-001-01,MECH-EQUIP-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-MECH-EQUIP-001-02,MECH-EQUIP-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MECH-EQUIP-001-03,MECH-EQUIP-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-MECH-TEST-001-01,MECH-TEST-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-MECH-TEST-001-02,MECH-TEST-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-MECH-TEST-001-03,MECH-TEST-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ELEC-CONDUIT-001-01,ELEC-CONDUIT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ELEC-CONDUIT-001-02,ELEC-CONDUIT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ELEC-CONDUIT-001-03,ELEC-CONDUIT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ELEC-WIRE-001-01,ELEC-WIRE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ELEC-WIRE-001-02,ELEC-WIRE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ELEC-WIRE-001-03,ELEC-WIRE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ELEC-PANEL-001-01,ELEC-PANEL-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ELEC-PANEL-001-02,ELEC-PANEL-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ELEC-PANEL-001-03,ELEC-PANEL-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ELEC-LIGHT-001-01,ELEC-LIGHT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ELEC-LIGHT-001-02,ELEC-LIGHT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ELEC-LIGHT-001-03,ELEC-LIGHT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-ELEC-GROUND-001-01,ELEC-GROUND-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-ELEC-GROUND-001-02,ELEC-GROUND-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-ELEC-GROUND-001-03,ELEC-GROUND-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-FIRE-SPR-001-01,FIRE-SPR-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-FIRE-SPR-001-02,FIRE-SPR-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-FIRE-SPR-001-03,FIRE-SPR-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-FIRE-HYDRANT-001-01,FIRE-HYDRANT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-FIRE-HYDRANT-001-02,FIRE-HYDRANT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-FIRE-HYDRANT-001-03,FIRE-HYDRANT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-FIRE-ALARM-001-01,FIRE-ALARM-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-FIRE-ALARM-001-02,FIRE-ALARM-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-FIRE-ALARM-001-03,FIRE-ALARM-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-FIRE-SMOKE-001-01,FIRE-SMOKE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-FIRE-SMOKE-001-02,FIRE-SMOKE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-FIRE-SMOKE-001-03,FIRE-SMOKE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EXT-PAVE-001-01,EXT-PAVE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EXT-PAVE-001-02,EXT-PAVE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EXT-PAVE-001-03,EXT-PAVE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EXT-BLOCK-001-01,EXT-BLOCK-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 신호봉/무전기",작업 전 착용상태 확인
E-EXT-BLOCK-001-02,EXT-BLOCK-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EXT-BLOCK-001-03,EXT-BLOCK-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-EXT-MANHOLE-001-01,EXT-MANHOLE-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대, 신호봉/무전기",작업 전 착용상태 확인
E-EXT-MANHOLE-001-02,EXT-MANHOLE-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-EXT-MANHOLE-001-03,EXT-MANHOLE-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-LAND-PLANT-001-01,LAND-PLANT-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-LAND-PLANT-001-02,LAND-PLANT-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-LAND-PLANT-001-03,LAND-PLANT-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-LAND-FAC-001-01,LAND-FAC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-LAND-FAC-001-02,LAND-FAC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-LAND-FAC-001-03,LAND-FAC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-CLOSE-CLEAN-001-01,CLOSE-CLEAN-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-CLOSE-CLEAN-001-02,CLOSE-CLEAN-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-CLOSE-CLEAN-001-03,CLOSE-CLEAN-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-CLOSE-TEST-001-01,CLOSE-TEST-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼, 안전대",작업 전 착용상태 확인
E-CLOSE-TEST-001-02,CLOSE-TEST-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-CLOSE-TEST-001-03,CLOSE-TEST-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
E-CLOSE-DOC-001-01,CLOSE-DOC-001,PPE,"안전모, 안전화, 장갑, 보안경, 형광조끼",작업 전 착용상태 확인
E-CLOSE-DOC-001-02,CLOSE-DOC-001,장비/공구,"작업별 전동공구, 양중장비, 측정공구",점검필증·절연·방호장치 확인
E-CLOSE-DOC-001-03,CLOSE-DOC-001,자재,승인자재 및 부속자재,반입검수·보관상태 확인
