위험ID,작업ID,위험요소,사고유형,위험도,상황설명,예방핵심,출처URL
R-STEEL-BOLT-001-03,STEEL-BOLT-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-WELD-001-01,STEEL-WELD-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-WELD-001-02,STEEL-WELD-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-WELD-001-03,STEEL-WELD-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-DECK-001-01,STEEL-DECK-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-DECK-001-02,STEEL-DECK-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-DECK-001-03,STEEL-DECK-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-FIRE-001-01,STEEL-FIRE-001,철골 양중물 낙하,낙하,상,줄걸이·신호수·작업반경 통제 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-FIRE-001-02,STEEL-FIRE-001,고소작업 추락,추락,상,생명줄·안전대·작업발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STEEL-FIRE-001-03,STEEL-FIRE-001,용접 화재·화상,화재/화상,중,불티비산 방지 및 소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BRICK-001-01,MASON-BRICK-001,벽체 전도,붕괴,중,일일 쌓기높이·양생 부족,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BRICK-001-02,MASON-BRICK-001,비계·발판 추락,추락,중,작업발판 정비 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BRICK-001-03,MASON-BRICK-001,중량물 취급 부담,근골격계,중,벽돌·블록 반복 운반,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BLOCK-001-01,MASON-BLOCK-001,벽체 전도,붕괴,중,일일 쌓기높이·양생 부족,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BLOCK-001-02,MASON-BLOCK-001,비계·발판 추락,추락,중,작업발판 정비 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-BLOCK-001-03,MASON-BLOCK-001,중량물 취급 부담,근골격계,중,벽돌·블록 반복 운반,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-LINTEL-001-01,MASON-LINTEL-001,벽체 전도,붕괴,중,일일 쌓기높이·양생 부족,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-LINTEL-001-02,MASON-LINTEL-001,비계·발판 추락,추락,중,작업발판 정비 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MASON-LINTEL-001-03,MASON-LINTEL-001,중량물 취급 부담,근골격계,중,벽돌·블록 반복 운반,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-WALL-001-01,PLASTER-WALL-001,미끄러짐·넘어짐,전도,중,몰탈·물기 바닥,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-WALL-001-02,PLASTER-WALL-001,분진·시멘트 피부접촉,보건,중,보안경·장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-WALL-001-03,PLASTER-WALL-001,작업발판 추락,추락,중,고소 미장 시 발판 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-FLOOR-001-01,PLASTER-FLOOR-001,미끄러짐·넘어짐,전도,중,몰탈·물기 바닥,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-FLOOR-001-02,PLASTER-FLOOR-001,분진·시멘트 피부접촉,보건,중,보안경·장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-FLOOR-001-03,PLASTER-FLOOR-001,작업발판 추락,추락,중,고소 미장 시 발판 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-LEVEL-001-01,PLASTER-LEVEL-001,미끄러짐·넘어짐,전도,중,몰탈·물기 바닥,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-LEVEL-001-02,PLASTER-LEVEL-001,분진·시멘트 피부접촉,보건,중,보안경·장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PLASTER-LEVEL-001-03,PLASTER-LEVEL-001,작업발판 추락,추락,중,고소 미장 시 발판 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-URE-001-01,WATER-URE-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-URE-001-02,WATER-URE-001,화재·폭발,화재,상,인화성 재료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-URE-001-03,WATER-URE-001,옥상 단부 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-SHEET-001-01,WATER-SHEET-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-SHEET-001-02,WATER-SHEET-001,화재·폭발,화재,상,인화성 재료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-SHEET-001-03,WATER-SHEET-001,옥상 단부 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-JOINT-001-01,WATER-JOINT-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-JOINT-001-02,WATER-JOINT-001,화재·폭발,화재,상,인화성 재료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WATER-JOINT-001-03,WATER-JOINT-001,옥상 단부 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-XPS-001-01,INSUL-XPS-001,분진·섬유 흡입,보건,중,방진마스크·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-XPS-001-02,INSUL-XPS-001,칼·절단공구 베임,베임,중,절단방지장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-XPS-001-03,INSUL-XPS-001,고소작업 추락,추락,중,천장·외벽 작업 시,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-WOOL-001-01,INSUL-WOOL-001,분진·섬유 흡입,보건,중,방진마스크·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-WOOL-001-02,INSUL-WOOL-001,칼·절단공구 베임,베임,중,절단방지장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INSUL-WOOL-001-03,INSUL-WOOL-001,고소작업 추락,추락,중,천장·외벽 작업 시,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-AL-001-01,WINDOW-AL-001,유리 파손 베임,베임,상,흡착기·장갑·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-AL-001-02,WINDOW-AL-001,창호 낙하·전도,낙하/협착,상,양중·임시고정 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-AL-001-03,WINDOW-AL-001,개구부 추락,추락,상,난간·덮개 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-GLASS-001-01,WINDOW-GLASS-001,유리 파손 베임,베임,상,흡착기·장갑·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-GLASS-001-02,WINDOW-GLASS-001,창호 낙하·전도,낙하/협착,상,양중·임시고정 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-GLASS-001-03,WINDOW-GLASS-001,개구부 추락,추락,상,난간·덮개 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-DOOR-001-01,WINDOW-DOOR-001,유리 파손 베임,베임,상,흡착기·장갑·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-DOOR-001-02,WINDOW-DOOR-001,창호 낙하·전도,낙하/협착,상,양중·임시고정 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-WINDOW-DOOR-001-03,WINDOW-DOOR-001,개구부 추락,추락,상,난간·덮개 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-RAIL-001-01,METAL-RAIL-001,절단·연마 불티,화재/화상,중,불티방지포·소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-RAIL-001-02,METAL-RAIL-001,고소작업 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-RAIL-001-03,METAL-RAIL-001,협착·끼임,협착,중,금속재 운반·고정 중,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-CEIL-001-01,METAL-CEIL-001,절단·연마 불티,화재/화상,중,불티방지포·소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-CEIL-001-02,METAL-CEIL-001,고소작업 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-CEIL-001-03,METAL-CEIL-001,협착·끼임,협착,중,금속재 운반·고정 중,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-LOUVER-001-01,METAL-LOUVER-001,절단·연마 불티,화재/화상,중,불티방지포·소화기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-LOUVER-001-02,METAL-LOUVER-001,고소작업 추락,추락,상,난간·안전대 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-METAL-LOUVER-001-03,METAL-LOUVER-001,협착·끼임,협착,중,금속재 운반·고정 중,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-SHEET-001-01,ROOF-SHEET-001,지붕 단부 추락,추락,상,생명줄·안전난간 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-SHEET-001-02,ROOF-SHEET-001,강풍 시 자재 비산,비래,상,기상조건 확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-SHEET-001-03,ROOF-SHEET-001,지붕재 절단 베임,베임,중,장갑·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-DRAIN-001-01,ROOF-DRAIN-001,지붕 단부 추락,추락,상,생명줄·안전난간 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-DRAIN-001-02,ROOF-DRAIN-001,강풍 시 자재 비산,비래,상,기상조건 확인,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-ROOF-DRAIN-001-03,ROOF-DRAIN-001,지붕재 절단 베임,베임,중,장갑·보안경 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-EXT-001-01,STONE-EXT-001,석재 낙하,낙하,상,앵커·양중관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-EXT-001-02,STONE-EXT-001,중량물 협착,협착,상,석재 운반·설치 중,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-EXT-001-03,STONE-EXT-001,분진 노출,보건,중,습식절단·방진마스크,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-FLOOR-001-01,STONE-FLOOR-001,석재 낙하,낙하,상,앵커·양중관리 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-FLOOR-001-02,STONE-FLOOR-001,중량물 협착,협착,상,석재 운반·설치 중,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-STONE-FLOOR-001-03,STONE-FLOOR-001,분진 노출,보건,중,습식절단·방진마스크,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-WALL-001-01,TILE-WALL-001,절단기 베임·비산,베임/비래,중,보안경·절단장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-WALL-001-02,TILE-WALL-001,접착제·시멘트 피부접촉,보건,중,장갑·환기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-WALL-001-03,TILE-WALL-001,바닥 미끄러짐,전도,중,양생구역 통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-FLOOR-001-01,TILE-FLOOR-001,절단기 베임·비산,베임/비래,중,보안경·절단장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-FLOOR-001-02,TILE-FLOOR-001,접착제·시멘트 피부접촉,보건,중,장갑·환기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-FLOOR-001-03,TILE-FLOOR-001,바닥 미끄러짐,전도,중,양생구역 통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-GROUT-001-01,TILE-GROUT-001,절단기 베임·비산,베임/비래,중,보안경·절단장갑 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-GROUT-001-02,TILE-GROUT-001,접착제·시멘트 피부접촉,보건,중,장갑·환기 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-TILE-GROUT-001-03,TILE-GROUT-001,바닥 미끄러짐,전도,중,양생구역 통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-WATER-001-01,PAINT-WATER-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-WATER-001-02,PAINT-WATER-001,화재·폭발,화재,상,인화성 도료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-WATER-001-03,PAINT-WATER-001,사다리·발판 추락,추락,중,안전발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-EPOXY-001-01,PAINT-EPOXY-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-EPOXY-001-02,PAINT-EPOXY-001,화재·폭발,화재,상,인화성 도료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-EPOXY-001-03,PAINT-EPOXY-001,사다리·발판 추락,추락,중,안전발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-ANTIRUST-001-01,PAINT-ANTIRUST-001,유기용제 흡입,보건,상,환기·방독마스크 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-ANTIRUST-001-02,PAINT-ANTIRUST-001,화재·폭발,화재,상,인화성 도료 취급,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-PAINT-ANTIRUST-001-03,PAINT-ANTIRUST-001,사다리·발판 추락,추락,중,안전발판 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-BOARD-001-01,INTERIOR-BOARD-001,천장 작업 추락,추락,중,말비계·이동식비계 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-BOARD-001-02,INTERIOR-BOARD-001,보드 운반 근골격계,근골격계,중,2인 운반·대차 사용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-BOARD-001-03,INTERIOR-BOARD-001,절단 분진 흡입,보건,중,집진·방진마스크,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-CEIL-001-01,INTERIOR-CEIL-001,천장 작업 추락,추락,중,말비계·이동식비계 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-CEIL-001-02,INTERIOR-CEIL-001,보드 운반 근골격계,근골격계,중,2인 운반·대차 사용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-CEIL-001-03,INTERIOR-CEIL-001,절단 분진 흡입,보건,중,집진·방진마스크,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-FIN-001-01,INTERIOR-FIN-001,천장 작업 추락,추락,중,말비계·이동식비계 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-FIN-001-02,INTERIOR-FIN-001,보드 운반 근골격계,근골격계,중,2인 운반·대차 사용,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-INTERIOR-FIN-001-03,INTERIOR-FIN-001,절단 분진 흡입,보건,중,집진·방진마스크,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-PIPE-001-01,MECH-PIPE-001,배관 양중·협착,협착,중,체인블록·줄걸이 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-PIPE-001-02,MECH-PIPE-001,용접·용단 화재,화재,상,화기작업허가 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-PIPE-001-03,MECH-PIPE-001,수압시험 파열,파열,상,압력관리·출입통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DRAIN-001-01,MECH-DRAIN-001,배관 양중·협착,협착,중,체인블록·줄걸이 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DRAIN-001-02,MECH-DRAIN-001,용접·용단 화재,화재,상,화기작업허가 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DRAIN-001-03,MECH-DRAIN-001,수압시험 파열,파열,상,압력관리·출입통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DUCT-001-01,MECH-DUCT-001,배관 양중·협착,협착,중,체인블록·줄걸이 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DUCT-001-02,MECH-DUCT-001,용접·용단 화재,화재,상,화기작업허가 필요,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-DUCT-001-03,MECH-DUCT-001,수압시험 파열,파열,상,압력관리·출입통제,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
R-MECH-EQUIP-001-01,MECH-EQUIP-001,배관 양중·협착,협착,중,체인블록·줄걸이 관리,작업 전 위험성평가 반영 및 현장 상태에 따라 추가조치,https://www.law.go.kr/LSW//lsInfoP.do?ancYnChk=0&lsId=007363
